Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 TC3),,,0.0269409,30.72,2454746.5,0.3121,1.308,0.9,2.54,194.1,234.45,330.75,1.72,0.6587,7.80E-06,0
       (2008 TX3),,,,24.9,2459800.5,0.1865,1.179,0.959,2.38,193.25,249.89,239.44,1.4,0.7697,0.0211,0
       (2008 TA4),,,,25.1,2459800.5,0.1229,1.087,0.954,15.48,16.54,61.83,19.72,1.22,0.8691,0.0135,0
       (2008 TB4),,,,21,2454749.5,0.4468,1.821,1.008,41.88,194.41,138.32,14.21,2.64,0.4009,0.0883,0
       (2008 TE4),,,,24.1,2454749.5,0.3689,1.468,0.927,6.34,355.69,325.01,26.02,2.01,0.554,0.0153,0
       (2008 TF9),,,,20.8,2459800.5,0.5367,2.551,1.182,41.12,5.86,324.61,151.16,3.92,0.2418,0.247,0
       (2008 TN9),,,,27.8,2454748.5,0.3038,1.2,0.835,1.63,7.52,290.14,46.29,1.56,0.7501,0.00158,0
       (2008 TX9),,,,26.2,2454748.5,0.5103,1.913,0.937,7.65,199.91,223.36,345.89,2.89,0.3726,0.0173,0
       (2008 TY9),,,0.1924,25,2459800.5,0.279,1.432,1.032,8.3,205.05,158.9,31.69,1.83,0.5753,0.0451,0
       (2008 TM10),,,,19,2459800.5,0.6523,2.28,0.793,22.36,202.93,229.09,355.61,3.77,0.2862,0.0587,0
       (2008 TP10),,,,22.47,2454749.5,0.6037,2.152,0.853,3.65,230.04,59.92,26.24,3.45,0.3123,0.00629,0
       (2008 TQ10),,,,20.5,2459800.5,0.4625,2.222,1.194,24.72,9.96,296.9,90.86,3.25,0.2975,0.34,0
       (2008 TR10),,,,20.4,2459800.5,0.468,2.119,1.128,5.39,256.4,35.74,210.44,3.11,0.3194,0.123,0
       (2008 TS10),,,,29,2454750.5,0.2026,1.258,1.003,1.47,5.64,345.37,17.91,1.51,0.6982,0.00323,0
       (2008 TV25),,,,20.02,2459800.5,0.512,1.885,0.92,9.06,163.85,297.29,97.04,2.85,0.3807,0.059,0
       (2008 TL26),,,,24.7,2454749.5,0.5764,2.638,1.118,17.88,198.51,171.5,1.32,4.16,0.23,0.122,0
       (2008 TM26),,,,23.42,2459800.5,0.4524,1.677,0.918,3.69,336.56,343.66,156.65,2.44,0.454,0.0281,0
       (2008 TP26),,,,23.9,2459800.5,0.2874,1.094,0.78,13.32,12.3,241.74,123.45,1.41,0.8609,0.0779,0
       (2008 TQ26),,,,23.4,2459800.5,0.492,1.791,0.91,4.16,238.34,61.38,306.04,2.67,0.4111,0.0183,0
       (2008 TS26),,,,33.2,2454748.5,0.5691,1.922,0.828,0.82,16.43,301.63,14.88,3.02,0.3698,7.32E-05,0
       (2008 TT26),,,7.1,23.6,2459800.5,0.2572,1.345,0.999,8.48,210.5,190.11,296.13,1.69,0.6317,0.00831,0
       (2008 TB27),,,,18.4,2459800.5,0.3605,1.773,1.134,38.03,265.02,169.47,308.12,2.41,0.4176,0.155,0
       (2008 TD27),,,,20.02,2459800.5,0.6433,2.199,0.784,10.92,286.47,199.24,50.05,3.61,0.3022,0.115,0
